Feature,Lasso_Importance,LogReg_Importance,RandomForest_Importance,XGBoost_Importance,Avg_Importance
V14,0.0,0.3681760625904632,1.0,1.0,0.5920440156476158
pca_anomaly_score,1.0,0.05839890345988257,0.7381894063935786,0.036082927,0.4581678092477686
V10,0.0,0.2987695780856042,0.6156876578877285,0.55205834,0.36662889377307256
Amount,0.0,1.0,0.045567704137128476,0.05549283,0.27526513341713993
V4,0.0,0.5308835461470569,0.4408213339338044,0.10582751,0.2693830976094411
V_std,0.0,0.31933163243787627,0.6859835104328299,0.04183125,0.26178659852613057
V12,0.0,0.29295090469975915,0.4439065295721214,0.08256645,0.20485597045697485
V_magnitude,0.0,0.29523747447753756,0.42796536026875626,0.044934373,0.19203430202381128
Amount_log,0.0,0.6492841117336609,0.03437066865340386,0.04242609,0.18152021776864452
Amount_sqrt,0.0,0.45920974231446565,0.012796810087237638,0.10334166,0.14383705344883643
V8,0.0,0.3283454725201565,0.0502664141741595,0.085219294,0.11595779513177373
Time,0.0,0.37469693666610426,0.025234466637245358,0.03355555,0.10837173798536376
V17,0.0,0.08958003013224015,0.30029159605629324,0.038308613,0.10704505979770841
V11,0.0,0.17421214110042793,0.21057085060956737,0.035048258,0.1049578123173833
V3_V4_interaction,0.0,0.017952260658581548,0.23219058158085215,0.10339865,0.0883853732810155
V_min,0.0,0.07883192011765648,0.2332966034784551,0.036470357,0.08714972023119123
is_very_low_amount,0.0,0.347079573172472,0.00031762179457900104,0.0,0.08684929874176275
V_sum,0.20677768805298494,0.014301057759230039,0.04856558890734271,0.029000673,0.07466125204065917
V16,0.0,0.20222572225763683,0.05516241821542415,0.039931256,0.07432984919927844
V2_V4_interaction,0.0,0.05172910918625815,0.18000973651949556,0.06063003,0.07309221915894899
V4_V5_interaction,0.0,0.2107715584693963,0.03922461803272185,0.04214519,0.07303534134999157
V_max,0.0,0.08793237559612406,0.119742990234632,0.060048785,0.06693103772285006
V2_V5_interaction,0.0,0.17599946155359453,0.010519520927719924,0.07846526,0.06624606076164885
V1,0.0,0.19060123291165543,0.027730177757245022,0.036023438,0.0635887121614344
V1_V3_interaction,0.0,0.13384330258484095,0.05754881677140143,0.04781205,0.05980104192551165
V2,0.0,0.2098270065772939,0.02132989585259601,0.007971845,0.059782186766448434
V28,0.0,0.14540963753603023,0.035529928874741226,0.058130473,0.059767509827313686
V_range,0.0,0.009100455478223484,0.15542826281684585,0.071677424,0.059051535577171
V13,0.0,0.10401758526514936,0.04365749938380556,0.06208068,0.05243894149324001
V21,0.0,0.14873934579766154,0.022149488492894626,0.03775911,0.05216198615552288
V1_V4_interaction,0.0,0.03828417946582929,0.09813602790915185,0.068383574,0.05120094546518999
V7,0.0,0.0005583614976009927,0.13720597974462437,0.053962108,0.04793161224750464
V1_V2_interaction,0.0,0.06762696911741653,0.05064314560832429,0.07036956,0.04715991781798801
V3,0.0,0.04244990247300293,0.09574652327583992,0.040917594,0.04477850493365971
V15,0.0,0.09872628513018426,0.030063052943468532,0.04595161,0.04368523666052068
V20,0.0,0.04791227419501054,0.024953520071093936,0.08610012,0.039741477659553236
V1_V5_interaction,0.0,0.09937268079244166,0.0165116473792691,0.0392261,0.038777607005114505
Time_hour,0.023165163270533355,0.03567804214247175,0.034310602358533115,0.054232042,0.036846462513589494
V18,0.0,0.054134458854206764,0.0329481732904807,0.036161494,0.03081103141367383
V2_V3_interaction,0.0,0.04609587054937355,0.0291145911040223,0.04557694,0.03019685071883707
V19,0.0,0.004410964301849238,0.05497169513710605,0.05106141,0.02761101747396278
V5,0.0,0.034356588940393146,0.018316208230899127,0.03323252,0.02147632960925936
V3_V5_interaction,0.0,0.019995896286345998,0.02214212675891032,0.032191604,0.01858240685527389
V9,0.0,0.013607050943534428,0.028739738953704557,0.030842297,0.01829727166909868
Time_day,0.0,0.010380075004396746,0.022804364839808838,0.03864637,0.017957702504176547
V_mean,0.0,0.0005107520628242991,0.03004364235462726,0.031051988,0.015401595549893066
V27,0.0,0.004634659616037086,0.020594713726690556,0.034744248,0.014993405284219736
V6,0.0,0.005857924897132224,0.027914468613064826,0.015028291,0.012200171223023148
V24,0.0,0.00581717760201723,0.0154672814581767,0.022969259,0.011063429502338627
is_weekend,0.0,0.001482248319188523,0.0007333681112943477,0.0,0.0005539041076207177
